neg_log_10_p_val,var,CHR,Position,Gene,alias,Kegg_Pathway
2.71,cg03344490,1,567348,ENSG00000237973,ENSG00000237973,nan
2.86,cg15979415,1,753223,ENSG00000177757,FAM87B,nan
2.341,cg22226438,1,854766,ENSG00000241180,ENSG00000241180,nan
2.925,cg21786289,1,854966,ENSG00000241180,ENSG00000241180,nan
2.469,cg07195057,1,907118,ENSG00000187642,PERM1,nan
2.778,cg11143486,1,918415,ENSG00000187642,PERM1,nan
2.595,cg13219080,1,942161,ENSG00000231702,ENSG00000231702,nan
3.425,cg24517686,1,1005398,ENSG00000217801,LOC100288175,nan
2.418,cg06618740,1,1100126,ENSG00000198976,MIR429,nan
2.36,cg11203990,1,1102417,ENSG00000198976,MIR429,nan
2.563,cg18319381,1,1138931,ENSG00000186891,TNFRSF18,Cytokine-cytokine receptor interaction
2.405,cg03003335,1,1229351,ENSG00000162572,SCNN1D,nan
2.568,cg23931819,1,1245076,ENSG00000127054,INTS11,nan
2.32,cg05362521,1,1245697,ENSG00000127054,INTS11,nan
2.669,cg06520508,1,1261347,ENSG00000127054,INTS11,nan
2.366,cg17748182,1,1277441,ENSG00000107404,DVL1,Breast cancer;Basal cell carcinoma;Pathways in cancer;HTLV-I infection;Melanogenesis;Signaling pathways regulating pluripotency of stem cells;Hippo signaling pathway;Notch signaling pathway;Wnt signaling pathway;mTOR signaling pathway
2.758,cg04107003,1,1397297,ENSG00000215915,ATAD3C,nan
2.54,cg24085570,1,1397412,ENSG00000215915,ATAD3C,nan
3.041,cg15079481,1,1612535,ENSG00000189339,SLC35E2B,nan
2.309,cg00992048,1,1695585,ENSG00000008130,NADK,Metabolic pathways;Nicotinate and nicotinamide metabolism
2.26,cg06443644,1,1846046,ENSG00000169885,CALML6,Fluid shear stress and atherosclerosis;Glioma;Tuberculosis;Pertussis;Alcoholism;Amphetamine addiction;Alzheimer's disease;Gastric acid secretion;Salivary secretion;Aldosterone synthesis and secretion;Renin secretion;Glucagon signaling pathway;Oxytocin signaling pathway;Melanogenesis;Estrogen signaling pathway;GnRH signaling pathway;Insulin signaling pathway;Inflammatory mediator regulation of TRP channels;Phototransduction;Olfactory transduction;Dopaminergic synapse;Neurotrophin signaling pathway;Long-term potentiation;Circadian entrainment;Apelin signaling pathway;Vascular smooth muscle contraction;Adrenergic signaling in cardiomyocytes;Oocyte meiosis;Phosphatidylinositol signaling system;cAMP signaling pathway;cGMP-PKG signaling pathway;Calcium signaling pathway;Rap1 signaling pathway;Ras signaling pathway
2.663,cg11549166,1,1846098,ENSG00000169885,CALML6,Fluid shear stress and atherosclerosis;Glioma;Tuberculosis;Pertussis;Alcoholism;Amphetamine addiction;Alzheimer's disease;Gastric acid secretion;Salivary secretion;Aldosterone synthesis and secretion;Renin secretion;Glucagon signaling pathway;Oxytocin signaling pathway;Melanogenesis;Estrogen signaling pathway;GnRH signaling pathway;Insulin signaling pathway;Inflammatory mediator regulation of TRP channels;Phototransduction;Olfactory transduction;Dopaminergic synapse;Neurotrophin signaling pathway;Long-term potentiation;Circadian entrainment;Apelin signaling pathway;Vascular smooth muscle contraction;Adrenergic signaling in cardiomyocytes;Oocyte meiosis;Phosphatidylinositol signaling system;cAMP signaling pathway;cGMP-PKG signaling pathway;Calcium signaling pathway;Rap1 signaling pathway;Ras signaling pathway
2.235,cg04520340,1,2005132,ENSG00000067606,PRKCZ,Fluid shear stress and atherosclerosis;AGE-RAGE signaling pathway in diabetic complications;Insulin resistance;Type II diabetes mellitus;Insulin signaling pathway;Platelet activation;Tight junction;Hippo signaling pathway;Axon guidance;Endocytosis;Sphingolipid signaling pathway;Chemokine signaling pathway;Rap1 signaling pathway
2.322,cg16735509,1,2023157,ENSG00000067606,PRKCZ,Fluid shear stress and atherosclerosis;AGE-RAGE signaling pathway in diabetic complications;Insulin resistance;Type II diabetes mellitus;Insulin signaling pathway;Platelet activation;Tight junction;Hippo signaling pathway;Axon guidance;Endocytosis;Sphingolipid signaling pathway;Chemokine signaling pathway;Rap1 signaling pathway
2.656,cg06315149,1,2036398,ENSG00000067606,PRKCZ,Fluid shear stress and atherosclerosis;AGE-RAGE signaling pathway in diabetic complications;Insulin resistance;Type II diabetes mellitus;Insulin signaling pathway;Platelet activation;Tight junction;Hippo signaling pathway;Axon guidance;Endocytosis;Sphingolipid signaling pathway;Chemokine signaling pathway;Rap1 signaling pathway
2.321,cg09433064,1,2082528,ENSG00000067606,PRKCZ,Fluid shear stress and atherosclerosis;AGE-RAGE signaling pathway in diabetic complications;Insulin resistance;Type II diabetes mellitus;Insulin signaling pathway;Platelet activation;Tight junction;Hippo signaling pathway;Axon guidance;Endocytosis;Sphingolipid signaling pathway;Chemokine signaling pathway;Rap1 signaling pathway
2.232,cg00300046,1,2084595,ENSG00000067606,PRKCZ,Fluid shear stress and atherosclerosis;AGE-RAGE signaling pathway in diabetic complications;Insulin resistance;Type II diabetes mellitus;Insulin signaling pathway;Platelet activation;Tight junction;Hippo signaling pathway;Axon guidance;Endocytosis;Sphingolipid signaling pathway;Chemokine signaling pathway;Rap1 signaling pathway
2.306,cg21442419,1,2182373,ENSG00000157933,SKI,nan
2.566,cg06087623,1,2203012,ENSG00000157933,SKI,nan
2.235,cg08271229,1,2222674,ENSG00000157933,SKI,nan
2.246,cg26017930,1,2232166,ENSG00000157933,SKI,nan
2.259,cg26876101,1,2321877,ENSG00000157916,RER1,nan
2.222,cg20664247,1,2345475,ENSG00000157911,PEX10,Peroxisome
3.222,cg01354137,1,2359459,ENSG00000149527,ENSG00000149527,nan
2.789,cg22502001,1,2360018,ENSG00000149527,ENSG00000149527,nan
2.62,cg15548859,1,2381299,ENSG00000149527,ENSG00000149527,nan
2.521,cg05888192,1,2399691,ENSG00000149527,ENSG00000149527,nan
2.676,cg00295182,1,2456436,ENSG00000197921,ENSG00000197921,nan
2.778,cg01737466,1,2512442,ENSG00000228037,ENSG00000228037,nan
2.281,cg06853416,1,2778841,-,,nan
2.256,cg04914832,1,2828293,-,,nan
3.012,cg04099793,1,2834108,-,,nan
2.983,cg04080530,1,2886868,-,,nan
2.226,cg16120196,1,2922569,-,,nan
2.281,cg17510438,1,2930183,-,,nan
2.569,cg04204526,1,2980937,ENSG00000142611,PRDM16,nan
2.374,cg01431482,1,2989085,ENSG00000142611,PRDM16,nan
2.684,cg14030836,1,2992620,ENSG00000142611,PRDM16,nan
2.346,cg15818632,1,3017794,ENSG00000142611,PRDM16,nan
2.339,cg27523417,1,3018024,ENSG00000142611,PRDM16,nan
3.084,cg05075921,1,3062287,ENSG00000142611,PRDM16,nan
2.452,cg05952379,1,3103048,ENSG00000142611,PRDM16,nan
2.343,cg12408250,1,3121727,ENSG00000142611,PRDM16,nan
2.717,cg22730864,1,3161448,ENSG00000142611,PRDM16,nan
2.262,cg15605124,1,3230250,ENSG00000142611,PRDM16,nan
2.366,cg04974499,1,3326008,ENSG00000142611,PRDM16,nan
2.277,cg08711320,1,3387932,ENSG00000130762,ARHGEF16,nan
2.244,cg19816367,1,3419426,ENSG00000162591,MEGF6,nan
2.627,cg01941754,1,3426532,ENSG00000162591,MEGF6,nan
2.681,cg16033941,1,3527997,ENSG00000162591,MEGF6,nan
2.392,cg22195036,1,3614517,ENSG00000078900,TP73,Measles;Neurotrophin signaling pathway;Hippo signaling pathway;p53 signaling pathway
3.338,cg17967071,1,3619574,ENSG00000078900,TP73,Measles;Neurotrophin signaling pathway;Hippo signaling pathway;p53 signaling pathway
3.014,cg26034538,1,3623319,ENSG00000078900,TP73,Measles;Neurotrophin signaling pathway;Hippo signaling pathway;p53 signaling pathway
2.26,cg22039909,1,3635100,ENSG00000078900,TP73,Measles;Neurotrophin signaling pathway;Hippo signaling pathway;p53 signaling pathway
2.349,cg17499822,1,3696143,ENSG00000130764,LRRC47,nan
3.032,cg24556754,1,3721846,-,,nan
2.325,cg00489772,1,3775078,ENSG00000169598,DFFB,Apoptosis
2.681,cg21919036,1,4113274,-,,nan
2.243,cg18213443,1,4221388,-,,nan
2.498,cg25488973,1,4221659,-,,nan
2.35,cg02960220,1,4370466,-,,nan
2.616,cg21199251,1,4828621,ENSG00000196581,AJAP1,Olfactory transduction
2.286,cg11968318,1,5561995,-,,nan
2.412,cg05393578,1,6094316,ENSG00000069424,KCNAB2,nan
3.943,cg12919368,1,6164407,ENSG00000069424,KCNAB2,nan
4.624,cg00152195,1,6166566,ENSG00000116254,CHD5,nan
2.406,cg03241101,1,6230969,ENSG00000116254,CHD5,nan
3.342,cg24886710,1,6232001,ENSG00000116254,CHD5,nan
2.394,cg08107735,1,6260360,ENSG00000116251,RPL22,Ribosome
2.523,cg21190042,1,6270961,ENSG00000158286,RNF207,nan
2.264,cg06158471,1,6283054,ENSG00000116237,ICMT,Terpenoid backbone biosynthesis
2.347,cg18975791,1,6285107,ENSG00000116237,ICMT,Terpenoid backbone biosynthesis
2.401,cg24539779,1,6302896,ENSG00000158292,GPR153,nan
2.677,cg09887323,1,6348460,ENSG00000097021,ACOT7,Biosynthesis of unsaturated fatty acids;Fatty acid elongation
2.625,cg24601967,1,6366496,ENSG00000097021,ACOT7,Biosynthesis of unsaturated fatty acids;Fatty acid elongation
2.875,cg14671927,1,6415103,ENSG00000097021,ACOT7,Biosynthesis of unsaturated fatty acids;Fatty acid elongation
2.405,cg24312879,1,6422118,ENSG00000097021,ACOT7,Biosynthesis of unsaturated fatty acids;Fatty acid elongation
2.575,cg16429975,1,6445632,ENSG00000097021,ACOT7,Biosynthesis of unsaturated fatty acids;Fatty acid elongation
2.238,cg13503477,1,6497127,ENSG00000187017,ESPN,Transcriptional misregulation in cancer
2.258,cg19779116,1,6550171,ENSG00000171680,PLEKHG5,Pathways in cancer
2.545,cg02600878,1,6580311,ENSG00000162408,NOL9,nan
4.05,cg21877403,1,6605464,ENSG00000162408,NOL9,nan
2.441,cg11135412,1,6637055,ENSG00000204859,ZBTB48,nan
2.681,cg03317152,1,6646156,ENSG00000204859,ZBTB48,nan
2.603,cg21706526,1,6647232,ENSG00000204859,ZBTB48,nan
2.268,cg16833163,1,6795889,-,,nan
3.6,cg03127002,1,6817890,-,,nan
2.46,cg02152417,1,7326345,ENSG00000171735,CAMTA1,nan
2.571,cg13612338,1,7529465,ENSG00000171735,CAMTA1,nan
3.234,cg05350026,1,7551576,ENSG00000171735,CAMTA1,nan
2.44,cg02605091,1,7557510,ENSG00000171735,CAMTA1,nan
2.338,cg14239612,1,8135638,ENSG00000238290,ENSG00000238290,nan
4.259,cg15217061,1,8137399,ENSG00000238290,ENSG00000238290,nan
2.491,cg17150721,1,8154669,ENSG00000238290,ENSG00000238290,nan
3.465,cg01438390,1,8166942,ENSG00000238290,ENSG00000238290,nan
2.369,cg01920963,1,8187378,ENSG00000238290,ENSG00000238290,nan
2.647,cg15629868,1,8319945,-,,nan
2.266,cg17174605,1,8353321,ENSG00000251977,ENSG00000251977,nan
2.285,cg03989270,1,8412158,ENSG00000142599,RERE,nan
2.471,cg20316440,1,8457758,ENSG00000142599,RERE,nan
2.224,cg27049263,1,8488265,ENSG00000142599,RERE,nan
2.452,cg15701149,1,8536454,ENSG00000142599,RERE,nan
2.582,cg01506334,1,8554075,ENSG00000142599,RERE,nan
3.27,cg21912448,1,8727007,ENSG00000142599,RERE,nan
2.494,cg24325712,1,8965799,ENSG00000232208,ENSG00000232208,nan
2.231,cg23837625,1,9139306,ENSG00000142583,SLC2A5,Carbohydrate digestion and absorption
2.24,cg16104584,1,9149734,ENSG00000142583,SLC2A5,Carbohydrate digestion and absorption
2.225,cg02476884,1,9338423,ENSG00000252841,,nan
2.503,cg12430302,1,9424575,ENSG00000171621,SPSB1,nan
2.477,cg11860632,1,9486173,-,,nan
2.305,cg11231958,1,9509421,-,,nan
2.897,cg19273387,1,9678201,ENSG00000188807,TMEM201,nan
2.381,cg10125465,1,10169029,ENSG00000130939,UBE4B,Protein processing in endoplasmic reticulum;Ubiquitin mediated proteolysis
2.492,cg09513023,1,10290787,ENSG00000054523,KIF1B,nan
2.361,cg03962214,1,10707953,ENSG00000130940,CASZ1,nan
2.653,cg04998589,1,10708091,ENSG00000130940,CASZ1,nan
2.976,cg10221299,1,10726094,ENSG00000130940,CASZ1,nan
2.312,cg09017718,1,10758995,ENSG00000130940,CASZ1,nan
2.833,cg14768598,1,10760569,ENSG00000130940,CASZ1,nan
2.772,cg10234511,1,10788801,ENSG00000130940,CASZ1,nan
2.354,cg25463742,1,10839574,ENSG00000130940,CASZ1,nan
2.29,cg11293814,1,11035721,ENSG00000175262,C1ORF127,nan
2.411,cg04844344,1,11128350,ENSG00000171824,EXOSC10,RNA degradation
2.839,cg08733203,1,11342431,ENSG00000120942,UBIAD1,Porphyrin and chlorophyll metabolism
2.968,cg20617049,1,11544453,ENSG00000204624,DISP3,nan
2.253,cg00659590,1,11549275,ENSG00000204624,DISP3,nan
2.241,cg09573658,1,11561956,ENSG00000204624,DISP3,nan
3.716,cg17028912,1,11619369,-,,nan
2.235,cg14240188,1,11621054,-,,nan
2.866,cg13915128,1,11701837,-,,nan
2.272,cg02004584,1,11889503,ENSG00000011021,CLCN6,nan
2.513,cg09619883,1,11975482,ENSG00000116685,KIAA2013,nan
2.244,cg03977831,1,11979188,ENSG00000116685,KIAA2013,nan
2.399,cg05963376,1,12105516,-,,nan
2.231,cg19940644,1,12112386,-,,nan
2.818,cg06853894,1,12204096,ENSG00000120949,TNFRSF8,Cytokine-cytokine receptor interaction
2.698,cg21393163,1,12217629,-,,nan
3.217,cg23843705,1,12270775,ENSG00000028137,TNFRSF1B,Amyotrophic lateral sclerosis (ALS);Adipocytokine signaling pathway;TNF signaling pathway;Cytokine-cytokine receptor interaction
3.672,cg02398947,1,12292851,ENSG00000048707,VPS13D,nan
2.937,cg23765404,1,12587508,ENSG00000229484,ENSG00000229484,nan
3.118,cg19263548,1,12609616,-,,nan
2.356,cg24541835,1,12651540,ENSG00000162496,DHRS3,Metabolic pathways;Retinol metabolism
2.228,cg17468563,1,12654900,ENSG00000162496,DHRS3,Metabolic pathways;Retinol metabolism
2.53,cg19620994,1,12774904,ENSG00000188984,AADACL3,nan
3.763,cg01614203,1,12884256,ENSG00000204513,,nan
2.396,cg10396741,1,14059689,ENSG00000116731,PRDM2,Lysine degradation
2.23,cg15585213,1,14146635,ENSG00000116731,PRDM2,Lysine degradation
2.478,cg26241260,1,14275763,-,,nan
2.954,cg08876039,1,14342668,-,,nan
2.383,cg18638023,1,14767870,-,,nan
2.404,cg01650295,1,14926521,ENSG00000189337,KAZN,nan
2.578,cg06063962,1,15223110,ENSG00000189337,KAZN,nan
